source,count,ratio
nytimes.com,12990,0.05976123110896418
newsweek.com,11256,0.05178386584776758
theguardian.com,10821,0.049782623697467394
abcnews.go.com,10433,0.04799760771053298
cnn.com,8784,0.040411289766061696
inquirer.com,6987,0.03214408943482161
foxnews.com,6665,0.03066271018793274
ibtimes.com,6518,0.0299864283578313
reuters.com,6383,0.029365353207738136
washingtonpost.com,6047,0.02781956616750627
seattletimes.com,4666,0.021466197409886596
cbsnews.com,4467,0.020550686633082602
nypost.com,4443,0.02044027327306604
businessinsider.com,4440,0.020426471603063972
rawstory.com,4310,0.01982839923630759
politicalwire.com,4001,0.01840682722609436
newsday.com,3458,0.01590872495571964
startribune.com,3195,0.014698778552204817
breitbart.com,3154,0.01451015572884319
nbcnews.com,2786,0.012817150875255905
usatoday.com,2708,0.01245830745520208
sandiegouniontribune.com,2661,0.012242081291836312
latimes.com,2552,0.011740620615094427
pbs.org,2473,0.011377176638373242
dailykos.com,2465,0.011340372185034388
arkansasonline.com,2449,0.01126676327835668
forbes.com,2415,0.011110344351666551
alternet.org,2229,0.010254640811538197
benzinga.com,2209,0.010162629678191062
chicagotribune.com,1912,0.008796264347986107
bloomberg.com,1908,0.00877786212131668
newsmax.com,1819,0.008368412577921928
huffpost.com,1795,0.008257999217905366
thedailybeast.com,1786,0.008216594207899155
npr.org,1703,0.007834748004508545
theweek.com,1699,0.007816345777839118
theconversation.com,1659,0.0076323235111448486
bostonherald.com,1628,0.0074897062544567895
dailycaller.com,1626,0.007480505141122076
time.com,1589,0.007310284544429876
hotair.com,1573,0.007236675637752168
redstate.com,1555,0.007153865617739746
politico.com,1545,0.007107860051066179
upi.com,1517,0.00697904446438019
sun-sentinel.com,1461,0.006721413291008212
townhall.com,1398,0.006431578220964736
mercurynews.com,1384,0.006367170427621742
pjmedia.com,1309,0.006022128677569986
baltimoresun.com,1307,0.006012927564235273
radaronline.com,1266,0.005824304740873646
centralmaine.com,1251,0.005755296390863295
stripes.com,1232,0.005667885814183516
staradvertiser.com,1215,0.005589676350838451
twincities.com,1165,0.005359648517470614
ajc.com,1104,0.0050790145607618525
cnbc.com,1097,0.005046810664090355
ocregister.com,1070,0.004922595634071722
oann.com,1038,0.0047753778207163065
theatlantic.com,994,0.00457295332735261
wcvb.com,992,0.004563752214017896
bostonglobe.com,971,0.0044671405240034046
pilotonline.com,957,0.00440273273066041
orlandosentinel.com,949,0.004365928277321556
stltoday.com,893,0.004108297103949578
whdh.com,879,0.004043889310606583
denverpost.com,860,0.003956478733926805
salon.com,842,0.0038736687139143836
azcentral.com,822,0.0037816575805672487
lowellsun.com,802,0.003689646447220114
fortune.com,789,0.0036298392105444757
sentinelandenterprise.com,773,0.0035562303038667678
courant.com,748,0.003441216387182849
spectator.org,716,0.0032939985738274333
sfgate.com,693,0.0031881857704782277
marketwatch.com,679,0.0031237779771352333
csmonitor.com,674,0.0031007751937984496
realclearpolitics.com,663,0.0030501690704575254
foxbusiness.com,628,0.0028891495871000393
newsbusters.org,616,0.002833942907091758
cleveland.com,609,0.0028017390104202607
patriotpost.us,569,0.002617716743725991
telemundonuevainglaterra.com,555,0.0025533089503829965
inquisitr.com,547,0.0025165044970441425
nashobavalleyvoice.com,528,0.002429093920364364
newyorker.com,528,0.002429093920364364
opednews.com,528,0.002429093920364364
vanityfair.com,477,0.00219446553032917
nationalmemo.com,475,0.0021852644169944565
uproxx.com,460,0.0021162560669841053
thenation.com,451,0.002074851056977894
europeanconservative.com,445,0.0020472477169737537
dailysignal.com,442,0.0020334460469716834
elnuevodia.com,432,0.001987440480298116
theblaze.com,430,0.0019782393669634025
rollingstone.com,427,0.0019644376969613323
metro.us,409,0.0018816276769489109
vice.com,387,0.0017804154302670622
slate.com,386,0.0017758148735997055
newsy.com,385,0.0017712143169323488
jezebel.com,379,0.0017436109769282083
