source,count,ratio
reuters.com,7454,0.08181139696198086
nytimes.com,5405,0.059322591974712444
cnn.com,5260,0.05773114408639916
washingtonpost.com,4173,0.04580077267538853
abcnews.go.com,3256,0.03573623671964176
theguardian.com,2540,0.02787777680217754
foxnews.com,2489,0.027318026165598384
cbsnews.com,2395,0.026286328913864256
ibtimes.com,2299,0.02523268065677408
rawstory.com,1968,0.02159978927034858
newsweek.com,1727,0.018954693124945122
seattletimes.com,1692,0.01857055053121433
newsmax.com,1672,0.018351040477653877
startribune.com,1653,0.018142505926771448
businessinsider.com,1496,0.01641935200632189
usnews.com,1490,0.016353498990253755
usatoday.com,1424,0.01562911581350426
sfgate.com,1114,0.012226709983317235
politico.com,1039,0.011403547282465537
nypost.com,1037,0.011381596277109492
politicalwire.com,1023,0.011227939239617174
dailykos.com,988,0.010843796645886382
npr.org,928,0.010185266485205022
arkansasonline.com,926,0.010163315479848977
forbes.com,925,0.010152339977170955
thedailybeast.com,897,0.00984502590218632
nbcnews.com,878,0.00963649135130389
azcentral.com,777,0.008527965580823601
theweek.com,762,0.008363333040653263
alternet.org,735,0.00806699446834665
latimes.com,731,0.00802309245763456
dailycaller.com,701,0.0076938273772938805
cnbc.com,690,0.007573096847835631
opednews.com,684,0.0075072438317674945
oann.com,680,0.007463341821055404
providencejournal.com,677,0.007430415313021336
dispatch.com,635,0.006969444200544385
metrowestdailynews.com,635,0.006969444200544385
telegram.com,634,0.0069584686978663626
norwichbulletin.com,630,0.0069145666871542714
milforddailynews.com,629,0.006903591184476249
southcoasttoday.com,617,0.0067718851523399775
augustachronicle.com,616,0.006760909649661954
pbs.org,613,0.006727983141627886
heraldnews.com,606,0.006651154622881728
tauntongazette.com,603,0.00661822811484766
enterprisenews.com,586,0.006431644569321275
patriotledger.com,585,0.006420669066643252
redstate.com,585,0.006420669066643252
thegardnernews.com,562,0.006168232505048731
chicagotribune.com,559,0.006135305997014663
leominsterchamp.com,540,0.005926771446132233
thelandmark.com,538,0.005904820440776188
stltoday.com,533,0.0058499429273860745
marketwatch.com,531,0.005827991922030029
thegraftonnews.com,523,0.005740187900605848
worcestermag.com,515,0.005652383879181666
townhall.com,508,0.005575555360435508
upi.com,502,0.005509702344367372
centralmaine.com,493,0.005410922820265168
sun-sentinel.com,491,0.005388971814909123
nationalreview.com,487,0.005345069804197032
time.com,465,0.005103608745280534
bloomberg.com,461,0.005059706734568443
realclearpolitics.com,449,0.0049280007024321715
salon.com,446,0.004895074194398104
ledger-enquirer.com,439,0.004818245675651945
newyorker.com,430,0.004719466151549741
mercurynews.com,414,0.004543858108701378
inquisitr.com,409,0.004488980595311266
breitbart.com,406,0.004456054087277198
newsday.com,406,0.004456054087277198
pjmedia.com,401,0.004401176573887084
huffpost.com,397,0.004357274563174993
newsbusters.org,392,0.0043023970497848806
whdh.com,374,0.004104838001580472
hotair.com,362,0.003973131969444201
staradvertiser.com,347,0.0038084994292738607
baltimoresun.com,323,0.003545087365001317
sacbee.com,298,0.0032706997980507507
csmonitor.com,292,0.003204846781982615
theatlantic.com,287,0.0031499692685925014
denverpost.com,280,0.003073140749846343
bostonherald.com,272,0.002985336728422162
slate.com,267,0.0029304592150320484
lowellsun.com,232,0.0025463166213012555
spectator.org,232,0.0025463166213012555
theconversation.com,230,0.0025243656159452104
vox.com,226,0.0024804636052331197
fayobserver.com,224,0.002458512599877074
nationalmemo.com,214,0.0023487575730968477
miamiherald.com,208,0.002282904557028712
orlandosentinel.com,204,0.002239002546316621
thewrap.com,204,0.002239002546316621
ocregister.com,203,0.002228027043638599
pri.org,198,0.0021731495302484854
twincities.com,198,0.0021731495302484854
telemundonuevainglaterra.com,195,0.0021402230222144175
vice.com,194,0.0021292475195363947
sentinelandenterprise.com,192,0.0021072965141803496
