"date,count,total_count,ratio"
2015-03-24,78,16960,0.004599056603773585
2015-03-25,50,19073,0.002621506842132858
2015-03-26,46,17670,0.0026032823995472553
2015-03-27,27,16698,0.0016169601149838304
2015-03-28,16,7591,0.0021077591885127122
2015-03-29,27,7706,0.003503763301323644
2015-03-30,23,14450,0.0015916955017301038
2015-03-31,29,16201,0.0017900129621628296
2015-04-01,22,16194,0.0013585278498209213
2015-04-02,21,16632,0.0012626262626262627"
""
"2015-04-03,10,13517,0.0007398091292446549
2015-04-04,4,6808,0.0005875440658049354
2015-04-05,6,7124,0.0008422234699606962
2015-04-06,26,13462,0.0019313623532907444
2015-04-07,25,15637,0.0015987721429941806
2015-04-08,53,16303,0.003250935410660615
2015-04-09,87,16470,0.005282331511839709
2015-04-10,65,14999,0.004333622241482766
2015-04-11,56,7137,0.007846434075942273
2015-04-12,44,8186,0.005375030539946249
2015-04-13,32,15079,0.0021221566416871145
2015-04-14,34,17179,0.001979160603061878
2015-04-15,22,17613,0.0012490773860216885
2015-04-16,40,16533,0.0024194036170084076
2015-04-17,29,15219,0.0019055128457848743
2015-04-18,33,7199,0.004583969995832754
2015-04-19,27,7973,0.0033864291985450895
2015-04-20,38,15004,0.002532657957877899
2015-04-21,27,16292,0.0016572550945249203
2015-04-22,20,17254,0.001159151501101194
2015-04-23,46,16891,0.002723343792552247
2015-04-24,34,15871,0.0021422720685527062
2015-04-25,51,7616,0.006696428571428571
2015-04-26,77,7457,0.01032586831165348
2015-04-27,21,15336,0.0013693270735524257
2015-04-28,58,17870,0.0032456631225517628
2015-04-29,35,17616,0.001986830154405086
2015-04-30,26,17624,0.0014752610077167498
2015-05-01,28,15931,0.0017575795618605236
2015-05-02,14,8629,0.0016224359717232587
2015-05-03,32,8061,0.003969730802629946"
""
"2015-05-04,49,14814,0.003307681922505738
2015-05-05,131,17115,0.007654104586619924
2015-05-06,64,17550,0.0036467236467236466
2015-05-07,50,16915,0.0029559562518474726
2015-05-08,73,16068,0.00454319143639532
2015-05-09,67,7006,0.009563231515843562
2015-05-10,59,7465,0.007903549899531145
2015-05-11,92,15206,0.0060502433250032885
2015-05-12,71,16894,0.004202675506096839
2015-05-13,68,18070,0.003763143331488655
2015-05-14,45,17437,0.002580719160406033
2015-05-15,41,16691,0.0024564136360913065
2015-05-16,44,7220,0.006094182825484765
2015-05-17,20,7528,0.002656748140276302
2015-05-18,40,15227,0.0026269127208248507
2015-05-19,53,18047,0.002936776195489555
2015-05-20,78,17372,0.004489983882109141
2015-05-21,79,17718,0.004458742521729315
2015-05-22,43,15991,0.0026890125695703832
2015-05-23,11,6695,0.0016430171769977594
2015-05-24,21,6937,0.0030272452068617556
2015-05-25,21,8777,0.0023926170673350803
2015-05-26,54,15816,0.0034142640364188165
2015-05-27,61,17158,0.0035551929129269146
2015-05-28,94,17358,0.005415370434381841
2015-05-29,47,15543,0.0030238692659074824
2015-05-30,27,7112,0.003796400449943757
2015-05-31,33,7487,0.004407639909175905
2015-06-01,73,16126,0.004526851047997023
2015-06-02,57,17439,0.003268536039910545
2015-06-03,72,17376,0.004143646408839779"
""
"2015-06-04,66,17664,0.003736413043478261
2015-06-05,33,16250,0.002030769230769231
2015-06-06,25,7279,0.0034345377112240693
2015-06-07,40,7736,0.005170630816959669
2015-06-08,83,15978,0.0051946426336212295
2015-06-09,62,16536,0.003749395258829221
2015-06-10,62,17576,0.0035275375512061904
2015-06-11,54,17315,0.00311868322263933
2015-06-12,56,15459,0.003622485283653535
2015-06-13,16,6936,0.002306805074971165
2015-06-14,33,7579,0.0043541364296081275
2015-06-15,110,16323,0.006738957299516021
2015-06-16,812,17165,0.04730556364695602
2015-06-17,849,18613,0.04561328104013324
2015-06-18,304,18398,0.016523535166865964
2015-06-19,278,17301,0.016068435350557773
2015-06-20,77,7881,0.009770333713995686
2015-06-21,70,8393,0.008340283569641367
2015-06-22,130,16712,0.007778841550981331
