source,count,ratio
reuters.com,1497,0.38159571756308946
cnn.com,331,0.08437420341575325
sacbee.com,179,0.04562834565383635
miamiherald.com,149,0.03798113688503696
foxnews.com,147,0.037471322967117
startribune.com,123,0.03135355595207749
kansascity.com,118,0.030079021157277595
seattletimes.com,105,0.026765230690797857
cbsnews.com,96,0.024471068060158044
npr.org,76,0.01937292888095845
latimes.com,73,0.018608208004078513
upi.com,69,0.017588580168238593
washingtonpost.com,68,0.017333673209278613
csmonitor.com,64,0.016314045373438696
newsmax.com,56,0.014274789701758857
chicagotribune.com,53,0.013510068824878919
usatoday.com,47,0.011980627071119042
twincities.com,36,0.009176650522559266
forbes.com,33,0.008411929645679326
denverpost.com,31,0.007902115727759368
nypost.com,31,0.007902115727759368
hotair.com,29,0.007392301809839409
townhall.com,28,0.007137394850879429
ajc.com,27,0.006882487891919449
politico.com,27,0.006882487891919449
post-gazette.com,27,0.006882487891919449
mercurynews.com,25,0.00637267397399949
realclearpolitics.com,25,0.00637267397399949
nbcnews.com,21,0.005353046138159572
usnews.com,18,0.004588325261279633
cleveland.com,17,0.004333418302319653
nationalreview.com,17,0.004333418302319653
baltimoresun.com,14,0.0035686974254397143
dailykos.com,14,0.0035686974254397143
pjmedia.com,12,0.0030588835075197555
pri.org,12,0.0030588835075197555
redstate.com,12,0.0030588835075197555
tampabay.com,12,0.0030588835075197555
nytimes.com,9,0.0022941626306398166
sun-sentinel.com,9,0.0022941626306398166
syracuse.com,9,0.0022941626306398166
bloomberg.com,8,0.002039255671679837
breitbart.com,8,0.002039255671679837
ocregister.com,8,0.002039255671679837
stltoday.com,8,0.002039255671679837
marketwatch.com,7,0.0017843487127198571
orlandosentinel.com,7,0.0017843487127198571
sfgate.com,7,0.0017843487127198571
theguardian.com,7,0.0017843487127198571
abcnews.go.com,6,0.0015294417537598777
bizjournals.com,6,0.0015294417537598777
dailycaller.com,6,0.0015294417537598777
newsbusters.org,6,0.0015294417537598777
rollingstone.com,6,0.0015294417537598777
thedailybeast.com,6,0.0015294417537598777
buzzfeed.com,5,0.0012745347947998981
huffpost.com,5,0.0012745347947998981
wired.com,5,0.0012745347947998981
businessinsider.com,4,0.0010196278358399185
businessweek.com,4,0.0010196278358399185
investors.com,4,0.0010196278358399185
slate.com,4,0.0010196278358399185
courant.com,3,0.0007647208768799389
dallasnews.com,3,0.0007647208768799389
freep.com,3,0.0007647208768799389
philly.com,3,0.0007647208768799389
salon.com,3,0.0007647208768799389
theatlantic.com,3,0.0007647208768799389
mic.com,2,0.0005098139179199592
mlive.com,2,0.0005098139179199592
postandcourier.com,2,0.0005098139179199592
sandiegouniontribune.com,2,0.0005098139179199592
techcrunch.com,2,0.0005098139179199592
activoforo.com,1,0.0002549069589599796
alternet.org,1,0.0002549069589599796
arkansasonline.com,1,0.0002549069589599796
azcentral.com,1,0.0002549069589599796
chron.com,1,0.0002549069589599796
cnbc.com,1,0.0002549069589599796
cnsnews.com,1,0.0002549069589599796
dispatch.com,1,0.0002549069589599796
eonline.com,1,0.0002549069589599796
espn.com,1,0.0002549069589599796
gizmodo.com,1,0.0002549069589599796
hollywoodreporter.com,1,0.0002549069589599796
ibtimes.com,1,0.0002549069589599796
indiewire.com,1,0.0002549069589599796
motherjones.com,1,0.0002549069589599796
mysanantonio.com,1,0.0002549069589599796
ncregister.com,1,0.0002549069589599796
patriotpost.us,1,0.0002549069589599796
time.com,1,0.0002549069589599796
tnr.com,1,0.0002549069589599796
vice.com,1,0.0002549069589599796
weeklystandard.com,1,0.0002549069589599796
