date,count,ratio,year,month
2013-01-01,4,0.0006891798759476,2013,1
2013-01-02,11,0.0011235955056179,2013,1
2013-01-03,11,0.0010088966339539,2013,1
2013-01-04,0,0.0,2013,1
2013-01-05,0,0.0,2013,1
2013-01-06,19,0.0032752973625237,2013,1
2013-01-07,6,0.0005370569280343,2013,1
2013-01-08,0,0.0,2013,1
2013-01-09,8,0.000697350069735,2013,1
2013-01-10,4,0.0003264773098269,2013,1
2013-01-11,9,0.0008179587385258,2013,1
2013-01-12,13,0.002429906542056,2013,1
2013-01-13,8,0.0013976240391334,2013,1
2013-01-14,4,0.0003593890386343,2013,1
2013-01-15,3,0.0002465483234714,2013,1
2013-01-16,7,0.000551007556675,2013,1
2013-01-17,2,0.0001559089491736,2013,1
2013-01-18,3,0.0002452382898716,2013,1
2013-01-19,3,0.0004802305106451,2013,1
2013-01-20,3,0.0005388898868331,2013,1
2013-01-21,1,0.0001065416577881,2013,1
2013-01-22,0,0.0,2013,1
2013-01-23,0,0.0,2013,1
2013-01-24,2,0.0001648125257519,2013,1
2013-01-25,3,0.0002665955745134,2013,1
2013-01-26,0,0.0,2013,1
2013-01-27,8,0.0013736263736263,2013,1
2013-01-28,2,0.0001804239963915,2013,1
2013-01-29,1,8.567511994516793e-05,2013,1
2013-01-30,1,8.04052424218059e-05,2013,1
2013-01-31,2,0.000154702970297,2013,1
2013-02-01,6,0.0005026388539834,2013,2
2013-02-02,11,0.0017784963621665,2013,2
2013-02-03,4,0.000669568128557,2013,2
2013-02-04,0,0.0,2013,2
2013-02-05,5,0.0004008658702798,2013,2
2013-02-06,1,7.914523149980213e-05,2013,2
2013-02-07,12,0.0009803921568627,2013,2
2013-02-08,21,0.0018481034937956,2013,2
2013-02-09,2,0.000335176805765,2013,2
2013-02-10,0,0.0,2013,2
2013-02-11,6,0.0005403458213256,2013,2
2013-02-12,2,0.0001701837985023,2013,2
2013-02-13,2,0.0001499925003749,2013,2
2013-02-14,9,0.000727213962508,2013,2
2013-02-15,5,0.0004617231507987,2013,2
2013-02-16,4,0.0007281995266703,2013,2
2013-02-17,1,0.0001923816852635,2013,2
2013-02-18,11,0.0014426229508196,2013,2
2013-02-19,4,0.0003836562440053,2013,2
2013-02-20,1,8.124136810463888e-05,2013,2
2013-02-21,9,0.0007448481337416,2013,2
2013-02-22,7,0.0006446859458463,2013,2
2013-02-23,4,0.0006346184356655,2013,2
2013-02-24,2,0.0003164556962025,2013,2
2013-02-25,0,0.0,2013,2
2013-02-26,3,0.0002447980416156,2013,2
2013-02-27,3,0.0002393107849393,2013,2
2013-02-28,3,0.0002376990729736,2013,2
2013-03-01,3,0.0002382465057179,2013,3
2013-03-02,1,0.000169147496617,2013,3
2013-03-03,0,0.0,2013,3
2013-03-04,19,0.0016592437341716,2013,3
2013-03-05,2,0.0001612643122077,2013,3
2013-03-06,10,0.0008037293039704,2013,3
2013-03-07,7,0.0005607626371865,2013,3
2013-03-08,3,0.0002587991718426,2013,3
2013-03-09,43,0.0061657585316891,2013,3
2013-03-10,17,0.0025293855081089,2013,3
2013-03-11,13,0.0011742390028001,2013,3
2013-03-12,8,0.0006845798391237,2013,3
2013-03-13,13,0.0009856698764121,2013,3
2013-03-14,1,7.550588945937783e-05,2013,3
2013-03-15,4,0.0003222168519413,2013,3
2013-03-16,1,0.0001518141794443,2013,3
2013-03-17,1,0.0001607975558771,2013,3
2013-03-18,0,0.0,2013,3
2013-03-19,2,0.0001537988311288,2013,3
2013-03-20,2,0.0001558239189715,2013,3
2013-03-21,1,8.350730688935282e-05,2013,3
2013-03-22,19,0.0017461630364856,2013,3
2013-03-23,3,0.0005288207297726,2013,3
2013-03-24,3,0.0005351409204423,2013,3
2013-03-25,2,0.0002139266231682,2013,3
2013-03-26,13,0.0012647144663877,2013,3
2013-03-27,2,0.0001756388864494,2013,3
2013-03-28,60,0.0056137724550898,2013,3
2013-03-29,27,0.0033259423503325,2013,3
2013-03-30,46,0.0087386018237082,2013,3
2013-03-31,52,0.0084388185654008,2013,3
2013-04-01,46,0.0041613895422471,2013,4
2013-04-02,10,0.00086670133472,2013,4
2013-04-03,32,0.0026782725142283,2013,4
2013-04-04,24,0.0018203883495145,2013,4
2013-04-05,8,0.0006373994104055,2013,4
2013-04-06,45,0.005569306930693,2013,4
2013-04-07,15,0.0021623180049012,2013,4
2013-04-08,24,0.0022246941045606,2013,4
2013-04-09,11,0.000841686433545,2013,4
2013-04-10,15,0.001195600191296,2013,4
2013-04-11,15,0.0011862396204033,2013,4
2013-04-12,14,0.0012205754141238,2013,4
2013-04-13,3,0.0004830140074062,2013,4
2013-04-14,1,0.0001520681265206,2013,4
2013-04-15,5,0.0004032583272844,2013,4
2013-04-16,3,0.0002302555836979,2013,4
2013-04-17,14,0.0010689470871191,2013,4
2013-04-18,8,0.0006062902614626,2013,4
2013-04-19,5,0.0004235493434985,2013,4
2013-04-20,2,0.0003468007629616,2013,4
2013-04-21,5,0.0008385041086701,2013,4
2013-04-22,4,0.0003517101908027,2013,4
2013-04-23,4,0.0003121829392023,2013,4
2013-04-24,6,0.0004726642508271,2013,4
2013-04-25,3,0.0002359603586597,2013,4
2013-04-26,3,0.000252122027061,2013,4
2013-04-27,5,0.0008019246190858,2013,4
2013-04-28,4,0.0006805035726437,2013,4
2013-04-29,17,0.0014538612845292,2013,4
2013-04-30,20,0.0016466326362588,2013,4
2013-05-01,9,0.0007073803348266,2013,5
2013-05-02,1,7.429972509101716e-05,2013,5
2013-05-03,1,8.239268352970256e-05,2013,5
2013-05-04,2,0.0003085467448318,2013,5
2013-05-05,3,0.0004694835680751,2013,5
2013-05-06,2,0.0001641497045305,2013,5
2013-05-07,12,0.0009741841207988,2013,5
2013-05-08,8,0.0005556327267676,2013,5
2013-05-09,3,0.0002299379167624,2013,5
2013-05-10,5,0.0003613238907356,2013,5
2013-05-11,2,0.0003126954346466,2013,5
2013-05-12,2,0.0003276003276003,2013,5
2013-05-13,1,6.802258349772124e-05,2013,5
2013-05-14,0,0.0,2013,5
2013-05-15,8,0.0006308650737323,2013,5
2013-05-16,4,0.0004449883190566,2013,5
2013-05-17,11,0.0010008188517878,2013,5
2013-05-18,4,0.0006241223279762,2013,5
2013-05-19,2,0.0003337226764558,2013,5
2013-05-20,8,0.0006692880448422,2013,5
2013-05-21,4,0.0003237031641984,2013,5
2013-05-22,14,0.0011580775911986,2013,5
2013-05-23,2,0.0001647853670594,2013,5
2013-05-24,5,0.0005018568704205,2013,5
2013-05-25,7,0.0011065444198545,2013,5
2013-05-26,0,0.0,2013,5
2013-05-27,9,0.0011670124481327,2013,5
2013-05-28,10,0.0010122482032594,2013,5
2013-05-29,0,0.0,2013,5
2013-05-30,6,0.0004786597526924,2013,5
2013-05-31,8,0.0007072135785007,2013,5
2013-06-01,2,0.0002780094523213,2013,6
2013-06-02,3,0.0003551136363636,2013,6
2013-06-03,4,0.0003013409673045,2013,6
2013-06-04,5,0.0003987876854362,2013,6
2013-06-05,4,0.0003130380341211,2013,6
2013-06-06,4,0.0002910149145143,2013,6
2013-06-07,19,0.0015424581912648,2013,6
2013-06-08,90,0.0116159008776458,2013,6
2013-06-09,55,0.0058716771645137,2013,6
2013-06-10,70,0.0053578262533486,2013,6
2013-06-11,43,0.003050294388877,2013,6
2013-06-12,70,0.0050236830773647,2013,6
2013-06-13,32,0.0023988005997001,2013,6
2013-06-14,14,0.000968992248062,2013,6
2013-06-15,46,0.0058000252175009,2013,6
2013-06-16,45,0.0059984004265529,2013,6
